seq,group,intent,expected_text,raw_asr,success,notes,repaired_text,nlu_intent
1,重启路由器,router_reboot,重启路由器,重启路由器,yes,,重启路由器,router_reboot
2,重启路由器,router_reboot,重启路由,重启路由,yes,,重启路由,router_reboot
3,重启路由器,router_reboot,重启网络,崇喜网络,yes,,重启网络,router_reboot
4,重启路由器,router_reboot,网络卡了重启一下,网络卡了重启一下,yes,,网络卡了重启一下,router_reboot
5,重启路由器,router_reboot,路由器死机了重启一下,落又期袭击了重启一下,yes,,路由器死机了重启一下,router_reboot
6,WiFi开关,router_wifi_restart,重启WiFi,重启歪饭,yes,,重启WiFi,router_wifi_restart
7,WiFi开关,router_wifi_restart,打开WiFi,打开歪歪,yes,,打开WiFi,router_wifi_restart
8,WiFi开关,router_wifi_restart,关闭WiFi,关闭外发,yes,,关闭WiFi,router_wifi_restart
9,WiFi开关,router_wifi_restart,WiFi连不上重启一下,也连不上重启一下,yes,,WiFi连不上重启一下,router_wifi_restart
10,WiFi配置,router_wifi_config,WiFi密码多少,麻烦密码多少,yes,,WiFi密码多少,router_network_query
11,WiFi配置,router_wifi_config,改WiFi密码,改外犯密码,yes,,改WiFi密码,router_wifi_config
12,WiFi配置,router_wifi_config,WiFi改个名字,外犯改革名字,yes,,WiFi改个名字,router_wifi_config
13,WiFi配置,router_wifi_config,打开访客网络,打开房客网络,yes,,打开访客网络,router_wifi_config
14,WiFi配置,router_wifi_config,关闭访客网络,关闭访客网络,yes,,关闭访客网络,router_wifi_config
15,WiFi配置,router_wifi_config,切换到5G频段,切换到五级频段,yes,,切换到5G频段,router_wifi_config
16,网络查询,router_network_query,IP地址是多少,指示多少,yes,,IP地址是多少,router_network_query
17,网络查询,router_network_query,谁连了WiFi,十一连的外犯,yes,,谁连了WiFi,router_network_query
18,网络查询,router_network_query,连了几个设备,连了几个设备,yes,,连了几个设备,router_network_query
19,网络查询,router_network_query,网速怎么样,网速怎么样,yes,,网速怎么样,router_network_query
20,网络查询,router_network_query,路由器运行多久了,略有期运行多久了,yes,,路由器运行多久了,router_network_query
21,网络查询,router_network_query,内存剩多少,内存上多少,yes,,内存剩多少,router_network_query
22,网络查询,router_network_query,CPU负载多少,皮油附载多少,yes,,CPU负载多少,router_network_query
23,指示灯,router_led_control,关闭路由器灯,关闭录系灯,yes,,关闭路由器灯,router_led_control
24,指示灯,router_led_control,打开路由器灯,打开洛器灯,yes,,打开路由器灯,router_led_control
25,设备管理,router_device_manage,踢掉这个设备,提掉这个设备,yes,,踢掉这个设备,router_device_manage
26,设备管理,router_device_manage,拉黑这部手机,拉黑这部手机,yes,,拉黑这部手机,router_device_manage
27,设备管理,router_device_manage,取消拉黑这个设备,取消拉黑这个设备,yes,,取消拉黑这个设备,router_device_manage
28,设备管理,router_device_manage,查看黑名单,查看黑名单,yes,,查看黑名单,router_device_manage
29,网络诊断,router_network_diag,测一下网速,测一下网速,yes,,测一下网速,router_network_query
30,网络诊断,router_network_diag,Ping一下,聘一下,yes,,Ping一下,router_network_diag
31,网络诊断,router_network_diag,延迟多少,延迟多少,yes,,延迟多少,router_network_diag
32,网络诊断,router_network_diag,网络诊断,网络诊断,yes,,网络诊断,router_network_diag
33,网络诊断,router_network_diag,DNS正常吗,电台是正常吗,yes,,DNS正常吗,router_network_diag
34,系统运维,router_system,检查固件更新,检查顾健更新,yes,,检查固件更新,router_system
35,系统运维,router_system,备份配置,配置,yes,,备份配置,router_system
36,系统运维,router_system,恢复出厂设置,恢复出厂设置,yes,,恢复出厂设置,router_system
37,系统运维,router_system,查看系统日志,查看系统日制,yes,,查看系统日志,router_system
38,系统运维,router_system,设置定时重启,设定定时重启,yes,,设置定时重启,router_system
39,QoS带宽,router_qos,打开QoS,打开课玩死,yes,,打开QoS,router_qos
40,QoS带宽,router_qos,关闭QoS,关闭科外,yes,,关闭QoS,router_qos
41,QoS带宽,router_qos,限制这台电脑的网速,这台电脑的网速,yes,,限制这台电脑的网速,router_qos
42,QoS带宽,router_qos,给游戏机优先,给游戏机优先,yes,,给游戏机优先,router_qos
43,安全策略,router_security,打开防火墙,打开防火墙,yes,,打开防火墙,router_security
44,安全策略,router_security,关闭防火墙,关闭防火墙,yes,,关闭防火墙,router_security
45,安全策略,router_security,打开家长控制,打开奖场控制,yes,,打开家长控制,router_security
46,安全策略,router_security,打开VPN,打开微偏方,yes,,打开VPN,router_security
47,安全策略,router_security,防蹭网,寸网,yes,,防蹭网,router_security
